FCFS,SJF,SRPT,PSJF,SPJF,SPRPT,PSPJF
186.23781346243138,162.1956954912537,127.94845995301864,143.96955010354017,167.39585185642946,130.31085926727667,146.2659202814367
186.58230605253993,164.02525970531372,120.69599513006202,139.53676894981402,167.93691942924866,122.94388514848748,140.88113126001068
184.1910293564852,162.96975592180976,136.40340874772937,142.07192992247067,166.92272070726796,134.3425521907665,145.1921028533592
180.69537559357843,160.53710724803767,122.61072311763324,139.28708205935183,164.60396086848945,121.03236833963516,142.25138721141627
185.73526060155461,164.03478097232247,127.48024601281193,140.2248880609903,167.85411764731154,129.02471420527647,141.08945550219178
185.86476922132672,162.27329847250502,122.19444821377542,142.6727180387718,166.49267627332003,122.83282886072573,144.81592279629112
